xStart;yStart;xEnde;yEnde;Zeit
Bewegung bei y=0
0;180;160;180;0.273758172989
0;180;170;180;0.285878896713
0;180;180;180;0.301769018173
0;180;190;180;0.299005031586
0;180;200;180;0.313897132874
0;180;210;180;0.322981119156
0;180;220;180;0.334868907928
0;180;230;180;0.339064121246
0;180;240;180;0.34716296196
0;180;250;180;0.359162092209
0;180;260;180;0.370892047882


Bewegung bei y=210
0;210;0;210;0.053375005722
0;210;10;210;0.148934841156
0;210;20;210;0.160908937454
0;210;30;210;0.166029930115
0;210;40;210;0.180924892426
0;210;50;210;0.192892074585
0;210;60;210;0.200898885727
0;210;70;210;0.210045814514
0;210;80;210;0.213888883591
0;210;90;210;0.216758966446
0;210;100;210;0.233903884888
0;210;110;210;0.237884044647
0;210;120;210;0.245882987976
0;210;130;210;0.249890089035
0;210;140;210;0.259019136429
0;210;150;210;0.265779972076
0;210;160;210;0.277874946594
0;210;170;210;0.291007041931
0;210;180;210;0.29384803772
0;210;190;210;0.302901029587
0;210;200;210;0.310873031616
0;210;210;210;0.322142124176
0;210;220;210;0.334131002426
0;210;230;210;0.343170166016
0;210;240;210;0.35085105896
0;210;250;210;0.358880996704
0;210;260;210;0.37087392807


Bewegung bei y=240
0;240;0;240;0.0567348003387
0;240;10;240;0.152512073517
0;240;20;240;0.156910181046
0;240;30;240;0.168802022934
0;240;40;240;0.18190908432
0;240;50;240;0.19787311554
0;240;60;240;0.197901010513
0;240;70;240;0.205945014954
0;240;80;240;0.216954946518
0;240;90;240;0.221874952316
0;240;100;240;0.22878909111
0;240;110;240;0.237853050232
0;240;120;240;0.245842933655
0;240;130;240;0.253864049911
0;240;140;240;0.257881164551
0;240;150;240;0.273878097534
0;240;160;240;0.279095888138
0;240;170;240;0.286171913147
0;240;180;240;0.298007011414
0;240;190;240;0.306150913239
0;240;200;240;0.31091094017
0;240;210;240;0.322885036469
0;240;220;240;0.334912061691
0;240;230;240;0.342055082321
0;240;240;240;0.346863031387
0;240;250;240;0.358995199203
0;240;260;240;0.370872974396


Bewegung bei y=270
0;270;0;270;0.0533771514893
0;270;10;270;0.15293097496
0;270;20;270;0.160889148712
0;270;30;270;0.170026063919
0;270;40;270;0.188925027847
0;270;50;270;0.196902990341
0;270;60;270;0.19690489769
0;270;70;270;0.209878206253
0;270;80;270;0.217900037766
0;270;90;270;0.221915006638
0;270;100;270;0.229905128479
0;270;110;270;0.257927894592
0;270;120;270;0.245098114014
0;270;130;270;0.254127979279
0;270;140;270;0.262127876282
0;270;150;270;0.269931077957
0;270;160;270;0.277872085571
0;270;170;270;0.287003993988
0;270;180;270;0.297887086868
0;270;190;270;0.302870035172
0;270;200;270;0.310858011246
0;270;210;270;0.322873830795
0;270;220;270;0.334878921509
0;270;230;270;0.345722913742
0;270;240;270;0.3468708992
0;270;250;270;0.358988046646
0;270;260;270;0.370882034302


Bewegung bei y=300
0;300;0;300;0.0573811531067
0;300;10;300;0.152980089188
0;300;20;300;0.16090798378
0;300;30;300;0.166013002396
0;300;40;300;0.188908100128
0;300;50;300;0.197079896927
0;300;60;300;0.196969985962
0;300;70;300;0.214090108871
0;300;80;300;0.222081184387
0;300;90;300;0.225013971329
0;300;100;300;0.230006933212
0;300;110;300;0.262856960297
0;300;120;300;0.245875835419
0;300;130;300;0.257887840271
0;300;140;300;0.261872053146
0;300;150;300;0.269759178162
0;300;160;300;0.281877994537
0;300;170;300;0.286990880966
0;300;180;300;0.29390001297
